InvoiceNo|InvoiceKey|VendorNo|Date|InvoiceType|VendorName|VendorAddr1|VendorState|StatusCode|ReturnSize
03rgyL25EJ|EDZ5oy|149|03-06-2013|OFFICE|Johnson|San Ysidro Blvd|New Hampshire|403|77089
jWIQImFg8K|ZBgTZX|126|04-06-2013|OFFICE|Roosevelt|East 1st Street|New Jersey|404|73456
YTo7Ps6TWZ|y2aScJ|110|29-01-2013|WORKSHOP|Adams|North Preisker Lane|Kentucky|404|154677
Vhufu97mCp|Cf25VK|175|25-05-2013|WORKSHOP|McKinley|South Roosevelt Drive|New Mexico|401|16280
E4vLeR2exc|rBDRlK|75|14-10-2013|OFFICE|Grant|Fairview Avenue|California|409|194566
ryMzAWzwnT|EDjpG2|233|28-05-2013|OFFICE|Wilson|Lake Tahoe Blvd.|Minnesota|401|142964
iV3dl9WYr6|es8swx|98|19-10-2013|WORKSHOP|Jackson|North Ventu Park Road|Nebraska|404|84435
7TFmccZRYT|TXBU19|45|27-02-2013|OFFICE|Jefferson|Lawrenceville Suwanee|Arizona|404|171269
vgacLYJZSG|eCwLu4|180|29-04-2013|WORKSHOP|Tyler|Carpinteria South|Pennsylvania|401|135656
v7KdJQKYlT|ROAXkG|246|15-05-2013|OFFICE|Truman|South Highway|Hawaii|200|96999
P3FFq4gpLr|02c8Pz|89|28-06-2013|OFFICE|Harrison|Carpinteria South|Missouri|409|4488
ZF0NNOfyVG|jDDQaP|102|11-03-2013|WORKSHOP|Clinton|French Camp Turnpike Road|Indiana|200|120601
3GuuMWBH9q|tLmBWV|70|15-10-2013|WORKSHOP|Madison|Santa Monica Road|Rhode Island|301|116689
P2MBFV37j2|B4wP5m|254|06-04-2013|OFFICE|Roosevelt|Westside Freeway|Ohio|401|56758
l7wRXYYyUw|KezKGJ|190|04-09-2013|OFFICE|Cleveland|San Marcos|Nevada|403|133550

